"source","target","weight"
rodolfovllima,STF_oficial,84
X0NGUINHAS,paulodaieq,84
cmrcruz,STF_oficial,84
LeoCuin,ArthurLira_,84
LeoCuin,rpsenador,84
RubemPortal,SF_Moro,84
OscarTindo,STF_oficial,83
BetoFontes,BolsonaroSP,83
McTom_BR,Gen_Ex_Freitas,83
BetoFontes,July_0803_B,83
Helio_Samora,STF_oficial,83
AvenaRonaldo,STF_oficial,83
EDSONTOQUE,silmaracrovador,83
X0NGUINHAS,FusaroZila,83
MoacirP71481242,gen_heleno,83
Hecules3Design,jairbolsonaro,83
jabonatto,STF_oficial,82
rosedbarros,STF_oficial,82
LeiaRachor,LeiaRachor,82
Jrodrigues1954,Jrodrigues1954,82
million023,STF_oficial,82
Moshejesus17,STF_oficial,82
KontrolleBrasil,STF_oficial,82
Neidefgmail,STF_oficial,82
MireRez,STF_oficial,82
X0NGUINHAS,SilvaGiceli12,82
ivomarcelino,STF_oficial,81
deb156411,STF_oficial,81
McTom_BR,GenPauloChagas,81
CunhaLucare,jairbolsonaro,81
LadyLaura32BP20,SenadoFederal,81
BetoFontes,Saka_Sakamori,81
andressasalutar,STF_oficial,81
pmiralda,STF_oficial,81
AAdryane,STF_oficial,81
HugoGilverson,STF_oficial,81
Irlandaemel,SenadoFederal,81
iane_menezes,iane_menezes,81
S_Odnalro,STF_oficial,81
gutemberg_guga,STF_oficial,81
Hederso11000770,STF_oficial,81
FATIMAA80856038,YouTube,81
MarcioB92155384,DefesaGovBr,81
fernandor159,gen_heleno,81
shushirlei,STF_oficial,80
ArtInovar,STF_oficial,80
LeiaRachor,HumbertoReisJr,80
RoboNina,STF_oficial,80
Vnia60277936,STF_oficial,80
fjmacamargo,LulaOficial,80
MarcioB92155384,STF_oficial,80
luis1965lnb,exercitooficial,80
vaucemir,STF_oficial,79
LeniBerenguel,STF_oficial,79
andreabazil,STF_oficial,79
Marcia_Jacob,STF_oficial,79
chiccoze52,VEJA,79
solangengosto,jairbolsonaro,79
X0NGUINHAS,BolsoFenix,79
migueldafamilia,senado,79
Argo41282619,neimerj,79
britopinho,exercitooficial,78
gugah198528,STF_oficial,78
Ricabudi,STF_oficial,78
Bravo_Zulu86,STF_oficial,78
gcesar48,policiafederal,78
gtsoares,jairbolsonaro,78
EugnioCosta,JosAmricoCamil2,78
AndreaCastroSi1,STF_oficial,78
fernandor159,Gen_Ex_Freitas,78
clarediportela,STF_oficial,77
SantosRe2011,STF_oficial,77
Gus_Moreira,STF_oficial,77
LeiaRachor,o_antagonista,77
LimaDoc,geraldomiotto,77
AlexNamihira,STF_oficial,77
BetoFontes,EZquerdopataZ,77
edinilson_sramo,STF_oficial,77
INTERSOM,STF_oficial,77
DouglasdaCunh11,STF_oficial,77
CombatenteSerra,jairbolsonaro,77
Ricardo94206375,RodrigoMaia,77
Ricardo94206375,davialcolumbre,77
drw_spo,AbrahamWeint,77
arnaldogb1,MarcosQuezado1,77
wbrenneisen,STF_oficial,76
Ezequiasns,MPF_PRPR,76
drusco,STF_oficial,76
ftelatin,gilmarmendes,76
JoSoBusa,STF_oficial,76
RoseCereja10,STF_oficial,76
chiccoze52,JornaldoBrasil,76
jfcomenale,YouTube,76
isnumber,STF_oficial,76
Hederso11000770,SF_Moro,76
flacoelho13,STF_oficial,76
DeniseSetti,STF_oficial,76
amartins1960,psol50,76
FATIMAA80856038,camaradeputados,76
ondejaciviu,Stealframe,76
BeliniStela,camaradeputados,76
fernandor159,GeneralMourao,76
IaraBelluomini,STF_oficial,75
MARCIOTICOS,STF_oficial,75
paulazanelli,STF_oficial,75
OobvioE,globolixo,75
BetoFontes,MauraFerreira10,75
ana_cavazzani,krikaoli,75
Wagner0288,Wagner0288,75
rcsjinfo,alvarodias_,75
cristinaberto17,LulaOficial,75
katybalalves,exercitooficial,75
X0NGUINHAS,Antonio46684810,75
drw_spo,davialcolumbre,75
tvendramelxp,STF_oficial,75
SandraRicciar14,nadia1monteiro,75
RubemPortal,jairbolsonaro,75
RubemPortal,aldorebelo,75
RubemPortal,LulaOficial,75
RubemPortal,BonifacioPortal,75
NACILIA,STF_oficial,74
StreetTed,CamaraDeputados,74
admmarialucia,STF_oficial,74
EdilsonSantos7,YouTube,74
malditoPT,UOL,74
JosMarcelodoNa3,STF_oficial,74
marisebenitez,STF_oficial,74
ErnaniUSouza,davialcolumbre,74
ReginaB2022,STF_oficial,74
BizarroPatriota,STF_oficial,74
Ediner67893809,STF_oficial,74
heliocbortolon,slpng_giants_pt,74
X0NGUINHAS,mfmbarr,74
xandevolp,alexandre,74
EduardoVelardez,jairbolsonaro,74
J_Lima1971,alexandre,74
brsemcomunas,STF_oficial,73
mitags,mitags,73
jujunaka,STF_oficial,73
HildaDeSouzaMa1,Francoubiratan,73
LadyLaura32BP20,jairbolsonaro,73
BetoFontes,CANAL_do_ALONSO,73
pauloquaresma2,STF_oficial,73
BerroCoronel,JusticaGovBR,73
andreaconcec,jairbolsonaro,73
ElizangelaHalf1,STF_oficial,73
CliaOli07708805,STF_oficial,73
EllenValle,SenadoFederal,73
FATIMAA80856038,SenadoFederal,73
HindemburgoF,jairbolsonaro,73
FalaCachoeira,STF_oficial,72
aruthcao,HumbertoReisJr,72
LimaDoc,catharinah16,72
HildaDeSouzaMa1,niceferrante,72
mayksilvahl,STF_oficial,72
JacqMantBrasil,STF_oficial,72
LucianaLimaMoro,gilmarmendes,72
ICaravieri,STF_oficial,72
